card_code,printing_id,variant_key,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare,is_promo,expected_path,discovery_status
OP01-077,1040,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-077_alt.png,FETCH_NEEDED
OP01-077,1041,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-077_p1.png,FETCH_NEEDED
OP01-078,1044,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-078_alt.png,FETCH_NEEDED
OP01-078,1048,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-078_alt.png,FETCH_NEEDED
OP01-078,1046,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-078_p2.png,FETCH_NEEDED
OP01-078,1047,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-078_p4.png,FETCH_NEEDED
OP01-078,1049,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-078.png,DISK_MATCH_FOUND
OP01-078,1050,sp,0,1,0,0,0,0,0,0,OP01/sp/OP01-078_sp.png,FETCH_NEEDED
OP01-079,1053,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-079_alt.png,FETCH_NEEDED
OP01-086,1068,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-086.png,DISK_MATCH_FOUND
OP01-091,1079,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-091_alt.png,FETCH_NEEDED
OP01-093,1085,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-093_alt.png,FETCH_NEEDED
OP01-093,1086,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-093_alt.png,FETCH_NEEDED
OP01-094,1090,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-094_alt.png,FETCH_NEEDED
OP01-094,1091,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-094_alt.png,FETCH_NEEDED
OP01-096,1097,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-096_alt.png,FETCH_NEEDED
OP01-101,1110,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-101_alt.png,FETCH_NEEDED
OP01-101,1111,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-101_p1.png,FETCH_NEEDED
OP01-102,1114,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-102_alt.png,FETCH_NEEDED
OP01-108,1128,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-108_alt.png,FETCH_NEEDED
OP01-109,1131,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-109_alt.png,FETCH_NEEDED
OP01-109,1132,parallel_1,0,0,0,0,0,0,0,0,OP01/parallel/OP01-109_p1.png,FETCH_NEEDED
OP01-114,1143,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-114_alt.png,FETCH_NEEDED
OP01-120,1156,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-120_alt.png,FETCH_NEEDED
OP01-120,1161,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-120_alt.png,FETCH_NEEDED
OP01-120,1159,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-120_p2.png,FETCH_NEEDED
OP01-120,1160,parallel_5,0,0,0,0,0,0,0,0,OP01/parallel/OP01-120_p5.png,FETCH_NEEDED
OP01-120,1164,promo,0,0,0,0,0,0,0,1,P/base/OP01-120.png,FETCH_NEEDED
OP01-120,1162,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-120.png,DISK_MATCH_FOUND
OP01-120,1163,r2,1,0,0,0,0,0,0,0,OP01/base/OP01-120.png,DISK_MATCH_FOUND
OP01-121,1168,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-121_alt.png,FETCH_NEEDED
OP01-121,1172,alt,0,0,0,1,0,0,0,0,OP01/alt/OP01-121_alt.png,FETCH_NEEDED
OP01-121,1167,operator_review,0,0,0,0,0,0,0,0,OP01/base/OP01-121.png,FLAG_UNRESOLVED
OP01-121,1170,parallel_2,0,0,0,0,0,0,0,0,OP01/parallel/OP01-121_p2.png,FETCH_NEEDED
OP01-121,1171,parallel_4,0,0,0,0,0,0,0,0,OP01/parallel/OP01-121_p4.png,FETCH_NEEDED
OP01-121,1173,r1,1,0,0,0,0,0,0,0,OP01/base/OP01-121.png,DISK_MATCH_FOUND
